timestamp            ,item                                                     ,slug                                                                 ,server   ,top_buy  ,low_sell  ,avg_price ,volume   ,source
2025-10-18T16:20:18Z ,Leather Boots                                            ,mediumfeet_leatherdropt3                                             ,devaloka ,         ,    85.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forgotten Coat                                           ,mediumchest_lost2t5                                                  ,devaloka ,         , 16750.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Captain Shoes                                     ,mediumfeet_undeadofficert2                                           ,devaloka ,         ,    90.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Waterlogged Gloves                                       ,mediumhands_drownedelite1t5                                          ,devaloka ,         ,   300.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Rugged Leather Gloves                                    ,mediumhands_leathert3                                                ,devaloka ,         ,   200.0  ,          ,    17.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Trapper Gloves                                           ,mediumhands_furdropt3                                                ,devaloka ,         ,    60.99 ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Infused Fur Coat                                         ,mediumchest_furt5                                                    ,devaloka ,         ,   130.0  ,          ,    12.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Layered Fur Pants                                        ,mediumlegs_furt4                                                     ,devaloka ,         ,    60.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Infused Fur Boots                                        ,mediumfeet_furt5                                                     ,devaloka ,         ,    20.0  ,          ,    12.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Woodworker's Gloves                                      ,clothinghands_woodworkert5                                           ,devaloka ,         ,  3997.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Infused Leather Hat                                      ,mediumhead_leathert5                                                 ,devaloka ,         ,   455.0  ,          ,    15.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Gunslinger Shoes                                  ,mediumfeet_undeadpistoleert3                                         ,devaloka ,         ,   279.99 ,          ,     5.0 ,nwmp_snapshot
