date       ,server   ,slug                                                          ,item                                                   ,side ,price_min ,price_max ,price_weighted_mean    ,price_weighted_median  ,quantity_total ,pct_10                 ,pct_30                 ,pct_50                 ,pct_70                 ,pct_90
2025-10-19 ,devaloka ,1hgauntletice_firstlightrevampt5                              ,Hesperian Ice Gauntlet                                 ,buy  ,   100.0  ,   100.0  ,  100.0                ,  100.0                ,             1 ,  100.0                ,  100.0                ,  100.0                ,  100.0                ,  100.0
2025-10-19 ,devaloka ,1hgreatsword_nightveil2025                                    ,Nightveil Greatsword                                   ,buy  ,   100.0  ,   100.0  ,  100.0                ,  100.0                ,             1 ,  100.0                ,  100.0                ,  100.0                ,  100.0                ,  100.0
2025-10-19 ,devaloka ,1hlongsword_bloodforgedlongswordt3_v2                         ,Bloodforged Longsword                                  ,buy  ,   100.0  ,   100.0  ,  100.0                ,  100.0                ,             1 ,  100.0                ,  100.0                ,  100.0                ,  100.0                ,  100.0
2025-10-19 ,devaloka ,1hrapier_lastblowt5                                           ,1hrapier_lastblowt5                                    ,buy  ,   300.0  ,   300.0  ,  300.0                ,  300.0                ,             1 ,  300.0                ,  300.0                ,  300.0                ,  300.0                ,  300.0
2025-10-19 ,devaloka ,1hrapier_lastblowt5_v2                                        ,Last Blow                                              ,buy  ,   300.0  ,   300.0  ,  300.0                ,  300.0                ,             1 ,  300.0                ,  300.0                ,  300.0                ,  300.0                ,  300.0
2025-10-19 ,devaloka ,1hrapier_veronicasjusticet5_v2                                ,Veronica's Justice                                     ,buy  ,   350.0  ,   350.0  ,  350.0                ,  350.0                ,             1 ,  350.0                ,  350.0                ,  350.0                ,  350.0                ,  350.0
2025-10-19 ,devaloka ,1hshieldd_halloweent5                                         ,Nightveil Tower Shield                                 ,buy  ,   100.0  ,   100.0  ,  100.0                ,  100.0                ,             1 ,  100.0                ,  100.0                ,  100.0                ,  100.0                ,  100.0
2025-10-19 ,devaloka ,1htowershieldcorruptedt4                                      ,Defiled Tower Shield                                   ,buy  ,   100.0  ,   100.0  ,  100.0                ,  100.0                ,             1 ,  100.0                ,  100.0                ,  100.0                ,  100.0                ,  100.0
2025-10-20 ,devaloka ,2hInstrumentGuitarT5                                          ,2hInstrumentGuitarT5                                   ,buy  ,  5000.0  ,  5000.0  , 5000.0                , 5000.0                ,             1 , 5000.0                , 5000.0                , 5000.0                , 5000.0                , 5000.0
2025-10-19 ,devaloka ,2haxecharmt3                                                  ,Orichalcum Great Axe Charm                             ,buy  ,    20.0  ,    20.0  ,   20.0                ,   20.0                ,            36 ,   20.0                ,   20.0                ,   20.0                ,   20.0                ,   20.0
2025-10-19 ,devaloka ,2haxecharmt6                                                  ,Reinforced Orichalcum Great Axe Charm                  ,buy  ,    10.0  ,    10.0  ,   10.0                ,   10.0                ,           152 ,   10.0                ,   10.0                ,   10.0                ,   10.0                ,   10.0
2025-10-19 ,devaloka ,2haxet52                                                      ,Mythril Logging Axe                                    ,buy  ,   100.0  ,   100.0  ,  100.0                ,  100.0                ,             1 ,  100.0                ,  100.0                ,  100.0                ,  100.0                ,  100.0
