date,server,slug,item,side,price_min,price_max,price_weighted_mean,price_weighted_median,quantity_total,pct_10,pct_30,pct_50,pct_70,pct_90
2025-10-20,devaloka,1HRapier_Nightveil2025,1HRapier_Nightveil2025,sell,7999.0,7999.0,7999.0,7999.0,2,7999.0,7999.0,7999.0,7999.0,7999.0
2025-10-20,devaloka,1HswordBT2,1HswordBT2,sell,50.0,100.0,78.1,70.0,50,50.0,65.0,70.0,100.0,100.0
2025-10-20,devaloka,1HswordBT3,1HswordBT3,sell,75.0,699.0,153.0,75.0,8,75.0,75.0,75.0,75.0,199.80000000000013
2025-10-20,devaloka,1HswordBT52,1HswordBT52,sell,1799.0,1799.0,1799.0,1799.0,2,1799.0,1799.0,1799.0,1799.0,1799.0
2025-10-20,devaloka,1hElementalGauntlet_IceT2,1hElementalGauntlet_IceT2,sell,100.0,100.0,100.0,100.0,4,100.0,100.0,100.0,100.0,100.0
2025-10-20,devaloka,1hElementalGauntlet_IceT3,1hElementalGauntlet_IceT3,sell,680.0,699.0,689.5,680.0,6,680.0,680.0,680.0,699.0,699.0
2025-10-20,devaloka,1hElementalGauntlet_IceT4,1hElementalGauntlet_IceT4,sell,48.0,100.0,62.2,50.0,20,49.0,50.0,50.0,50.0,100.0
2025-10-20,devaloka,1hElementalGauntlet_IceT5,1hElementalGauntlet_IceT5,sell,100.0,100.0,100.0,100.0,1,100.0,100.0,100.0,100.0,100.0
2025-10-20,devaloka,1hElementalGauntlet_IceT52,1hElementalGauntlet_IceT52,sell,1799.0,1799.0,1799.0,1799.0,2,1799.0,1799.0,1799.0,1799.0,1799.0
2025-10-20,devaloka,1hElementalGauntlet_Ice_Nightveil2025,1hElementalGauntlet_Ice_Nightveil2025,sell,7399.0,7399.0,7399.0,7399.0,2,7399.0,7399.0,7399.0,7399.0,7399.0
2025-10-20,devaloka,1hFlailAncientEliteT5,1hFlailAncientEliteT5,sell,8999.0,16310.0,10861.6,8999.5,5,8999.0,8999.0,8999.5,10000.0,13655.0
2025-10-20,devaloka,1hFlailAncientT5,1hFlailAncientT5,sell,5400.0,32000.0,12734.444444444445,9339.0,9,5400.0,5400.0,9339.0,14553.7,19609.700000000008
2025-10-20,devaloka,1hFlailAngryEarthT5,1hFlailAngryEarthT5,sell,5000.0,7500.0,6360.0,6100.0,5,5000.0,5550.0,6100.0,6600.0,7300.0
2025-10-20,devaloka,1hFlailCorruptedEliteT5,1hFlailCorruptedEliteT5,sell,1000.0,2500.0,2162.5,2300.0,8,1000.0,2300.0,2300.0,2300.0,2340.0
2025-10-20,devaloka,1hFlailCorruptedT4,1hFlailCorruptedT4,sell,400.0,400.0,400.0,400.0,2,400.0,400.0,400.0,400.0,400.0
2025-10-20,devaloka,1hFlailCorruptedT5,1hFlailCorruptedT5,sell,300.0,20678.0,5109.75,1000.0,8,300.0,540.0,1000.0,1299.9999999999998,16295.6
2025-10-20,devaloka,1hFlailDarknessBreachT5,1hFlailDarknessBreachT5,sell,3500.0,16288.0,7762.666666666667,3500.0,3,3500.0,3500.0,3500.0,4778.799999999999,12451.6
2025-10-20,devaloka,1hFlailDropT2,1hFlailDropT2,sell,32.0,35.0,33.8,33.5,5,32.0,32.0,33.5,35.0,35.0
2025-10-20,devaloka,1hFlailDropT3,1hFlailDropT3,sell,69.0,200.0,102.77777777777777,82.0,18,69.0,69.0,82.0,96.0,166.00000000000003
2025-10-20,devaloka,1hFlailDropT4,1hFlailDropT4,sell,200.0,500.0,400.0,400.0,4,200.0,240.0,400.0,480.0,500.0
2025-10-20,devaloka,1hFlailDropT5,1hFlailDropT5,sell,150.0,21466.0,6938.5,3540.0,8,150.0,1119.9999999999998,3540.0,7139.999999999998,15934.800000000001
